@relation 'idiomasES'

@attribute Text string
@attribute class {tennis,rugby,basketball,football,golf}

@data
'Watson responded well against her doubles partner in the second with a break of her own but she was broken back a couple of games later as Konta forced the tie break.Both players continually lost their own serves during the tie break but eventually Konta came through to make it to the next round.',tennis
'Nadal, 32, comes into the grass court season off a terrific clay court period that ended with him winning his 11th French Open crown, beating Dominic Thiem in the final.He had been expected to use Queen´s as his primary preparation for Wimbledon but has now had to pull out.',tennis
'Everyone knows how much I love playing on grass and I was looking forward to starting my grass season there, but unfortunately I aggravated an injury I sustained in Rome and need to rest as much as I can right now. I look forward to returning to Birmingham next year and playing in front of its great fans.'tennis
'That defeat by Haas last year together with his semi-final loss the year before against Dominic Thiem means Federer is in the unusual position of trying to avoid a three-match losing streak at a single tournament.Losing to Haas did not dent his confidence too much last year, however, as he went on to win the Halle title and an eighth Wimbledon without dropping a set.',tennis
'Murray, a five-times winner at Queen´s, has been out of action since last July with a hip problem and is expected to make his comeback at the London tournament next week, although he has already delayed his return by pulling out of a grasscourt event in the Netherlands this week.Marin Cilic and Stan Wawrinka, whose ranking plummeted to 263 in the world this week after he too endured injury problems over the past year, are also in the draw.',tennis
'With 10th-seed Stephens beginning to fade, and momentum behind her, Halep raced into a five-game lead, but, Stephens, facing the ignominy of a third-set bagel, managed to get on the board in the sixth game.However, Halep, in her fourth Grand Slam final, was not to be denied, claiming the Suzanne Lenglen trophy on her 32nd appearance at a Grand Slam.',tennis
'Serena Williams´ coach Patrick Mouratoglou has said that he expects the former world number one to be fit to play at Wimbledon after pulling out of the French Open with injury.',tennis
'The French Open final will be decided by a third set with Simona Halep and Sloane Stephens locked at 1-1 at Roland Garros.US Open champion Stephens won the first set 6-3 before world number one Simona Halep levelled the final by breaking to take the second set 6-4.',tennis
'There were breaks on either side of the second set but it was Cilic who came through to level things up after Del Potro had won the opening set on Wednesday.He then broke Del Potro immediately as the Argentine struggled for rhythm and even argued with sections of the crowd.',tennis
'It was her book ‘Unstoppable’, published last year, which had dominated the build-up to her scheduled fourth-round meeting with Serena Williams, until the American pulled out injured.',tennis
